"Country name","Regional indicator","Ladder score","Standard error of ladder score","upperwhisker","lowerwhisker","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","Ladder score in Dystopia","Explained by: Log GDP per capita","Explained by: Social support","Explained by: Healthy life expectancy","Explained by: Freedom to make life choices","Explained by: Generosity","Explained by: Perceptions of corruption","Dystopia + residual"
"Czech Republic","Central and Eastern Europe",6.96470022201538,0.0494599901139736,7.06164169311523,6.86775875091553,10.5561466217041,0.946502208709717,70.8066482543945,0.858412504196167,-0.208342000842094,0.867780745029449,2.43034291267395,1.36982464790344,1.09019327163696,0.703239262104034,0.580020785331726,0.0520636141300201,0.0456371530890465,3.12373924255371
"United States","North America and ANZ",6.95149993896484,0.0487452819943428,7.0470404624939,6.85595941543579,11.023136138916,0.919849336147308,68.1998596191406,0.836963057518005,0.0984368175268173,0.698064088821411,2.43034291267395,1.53297746181488,1.03014695644379,0.621138632297516,0.553920388221741,0.252187579870224,0.153869658708572,2.80729675292969
"Belgium","Western Europe",6.83400011062622,0.0340694598853588,6.90077638626099,6.76722383499146,10.8230752944946,0.905531466007233,72.1994247436523,0.783322155475616,-0.153368055820465,0.645583748817444,2.43034291267395,1.46308195590973,0.997890293598175,0.747104644775391,0.488648325204849,0.0879252925515175,0.187337666749954,2.8620285987854
"France","Western Europe",6.68989992141724,0.0366651751101017,6.76176357269287,6.6180362701416,10.7038927078247,0.942347347736359,73.9997940063477,0.821860611438751,-0.146519169211388,0.570747911930084,2.43034291267395,1.42144286632538,1.08083271980286,0.803807199001312,0.535543203353882,0.0923930928111076,0.235062330961227,2.52077770233154
"Bahrain","Middle East and North Africa",6.64690017700195,0.0676340609788895,6.77946281433105,6.51433753967285,10.6686105728149,0.861642181873322,69.4951019287109,0.924988090991974,0.0891168490052223,0.721985101699829,2.43034291267395,1.40911638736725,0.899012088775635,0.661932170391083,0.661032259464264,0.246107786893845,0.138614639639854,2.63109970092773
"Malta","Western Europe",6.60200023651123,0.0437164753675461,6.68768453598022,6.51631593704224,10.6736631393433,0.930931031703949,72.1999969482422,0.927208542823792,0.132646709680557,0.652985811233521,2.43034291267395,1.41088151931763,1.05511295795441,0.747122704982758,0.663734078407288,0.274504035711288,0.1826171875,2.26799058914185
"Taiwan Province of China","East Asia",6.58440017700195,0.0381155945360661,6.65910673141479,6.50969362258911,10.8709955215454,0.898278772830963,69.5999984741211,0.78436142206192,-0.0704944059252739,0.721331298351288,2.43034291267395,1.47982394695282,0.981550693511963,0.665235936641693,0.489912956953049,0.141987055540085,0.139031589031219,2.68682217597961
"United Arab Emirates","Middle East and North Africa",6.5605001449585,0.0392555855214596,6.63744115829468,6.48355913162231,11.0848894119263,0.844388663768768,67.332893371582,0.932395994663239,0.0739989876747131,0.589146018028259,2.43034291267395,1.55455231666565,0.860141634941101,0.593833565711975,0.670046448707581,0.236245810985565,0.223329409956932,2.4223198890686
"Saudi Arabia","Middle East and North Africa",6.49399995803833,0.0559947341680527,6.60374975204468,6.38425016403198,10.7425031661987,0.890549182891846,66.6030960083008,0.877262592315674,-0.149436235427856,0.684004604816437,2.43034291267395,1.43493235111237,0.964136719703674,0.570848643779755,0.602958202362061,0.0904901772737503,0.162835747003555,2.66775798797607
"Spain","Western Europe",6.49069976806641,0.0423487946391106,6.57370328903198,6.40769624710083,10.5708503723145,0.931581139564514,74.6999969482422,0.76136726140976,-0.0811386778950691,0.745278358459473,2.43034291267395,1.37496173381805,1.05657756328583,0.825860023498535,0.461932867765427,0.135043382644653,0.12375995516777,2.51258563995361
